"Epoch","Req/sec"
1506589957,97700.12
1506590033,97695.71
1506590108,97694.00
1506590184,97694.58
1506590259,97693.30
1506590335,97703.60
1506590410,97692.65
1506590486,97701.24
1506590561,97689.90
1506590637,97696.73
1506590712,97700.44
1506590788,97703.99
1506590864,97703.42
1506590939,97713.30
1506591015,97686.01
1506591090,97681.75
1506591166,97687.69
1506591241,97689.45
1506591317,97704.94
1506591392,97683.66
1506591468,97699.14
1506591543,97683.61
1506591619,97685.05
1506591694,97679.95
1506591770,97696.67
1506591845,97694.90
1506591921,97675.29
1506591996,97674.42
1506592071,97679.95
1506592147,97680.01
1506592222,97702.78
1506592298,97698.21
1506592373,97693.65
1506592449,97698.01
1506592524,97712.62
1506592600,97689.59
1506592675,97678.70
1506592750,97676.89
1506592826,97694.83
1506592901,97694.21
1506592977,97723.91
1506593052,97688.25
1506593128,97708.47
1506593203,97685.97
1506593279,97695.09
1506593354,97702.83
1506593430,97706.62
1506593505,97696.50
1506593581,97689.53
1506593656,97706.74
1506593732,97699.09
1506593807,97711.40
1506593882,97716.32
1506593958,97694.97
1506594033,97690.19
1506594109,97717.71
1506594184,97682.96
1506594260,97684.80
1506594335,97691.19
1506594410,97693.98
1506594486,97693.98
1506594561,97696.58
1506594637,97177.49
1506594712,97710.52
1506594788,97696.55
1506594863,97728.18
1506594939,97686.07
1506595014,97678.42
1506595090,97691.87
1506595165,97700.07
1506595241,97696.17
1506595317,97727.46
1506595392,97701.47
1506595467,97696.44
1506595543,97701.50
1506595619,97692.71
1506595694,97679.83
1506595770,97698.78
1506595845,97692.11
1506595921,97698.61
1506595996,97718.14
1506596072,97683.59
1506596147,97695.69
1506596223,97711.65
1506596298,97700.66
1506596374,97705.14
1506596449,97714.47
1506596525,97697.17
1506596600,97683.51
1506596675,97687.41
1506596751,97703.45
1506596826,97697.09
1506596902,97703.71
1506596977,97701.11
1506597053,97711.07
1506597128,97712.07
1506597204,97696.74
1506597279,97697.69
1506597355,97693.91
1506597430,97712.01
