"# of pods","Req/sec"
1,19079.37
2,37718.16
4,33677.61
6,75968.39
8,115212.70
10,133518.66
12,136648.50
14,137237.69
16,133281.94
18,130108.50
20,125155.55
25,128683.64
30,128032.79
35,129602.67
40,128469.98
1,19010.26
2,37213.33
4,35716.48
6,115206.56
8,129120.16
10,131632.85
12,135429.86
14,134988.46
16,131554.39
18,132631.91
20,125865.64
25,127543.03
30,128027.31
35,129231.29
40,126286.73
1,18421.18
2,37901.35
4,70141.64
6,115704.22
8,129028.73
10,132151.65
12,135560.48
14,136487.96
16,133152.50
18,133734.51
20,126660.11
25,127110.32
30,128421.90
35,128638.54
40,126440.57
1,5603.17
2,38131.44
4,79099.68
6,113590.21
8,129309.13
10,133150.46
12,135329.06
14,136022.88
16,133240.32
18,132912.36
20,125775.65
25,127135.21
30,125854.79
35,128232.44
40,127239.51
1,18630.88
2,37610.67
4,78851.41
6,114951.88
8,130178.68
10,132462.81
12,134756.07
14,136100.82
16,132437.66
18,134136.05
20,125825.18
25,129019.26
30,128959.58
35,129363.61
40,127721.78
1,18564.40
2,38547.05
4,76392.04
6,113335.75
8,130109.74
10,132686.29
12,135524.02
14,136291.73
16,131327.75
18,135721.57
20,125441.26
25,127644.40
30,127674.55
35,128522.25
40,128789.89
1,18291.89
2,37717.95
4,78829.47
6,112125.05
8,129251.51
10,133169.91
12,134869.43
14,135882.38
16,132601.93
18,136164.90
20,126894.18
25,127466.00
30,129359.63
35,129126.51
40,127666.78
1,6867.86
2,31292.62
4,78913.13
6,114519.98
8,127864.37
10,138785.12
12,136132.99
14,135436.71
16,132673.75
18,135649.77
20,128165.40
25,127167.30
30,128023.00
35,128035.31
40,127026.78
1,19159.92
2,38311.27
4,80058.28
6,111176.99
8,129036.81
10,132539.94
12,135906.57
14,134151.79
16,131707.26
18,135147.58
20,128138.39
25,127171.70
30,128784.68
35,128915.80
40,126838.81
1,19360.40
2,37243.40
4,79749.61
6,114870.07
8,127372.54
10,133989.65
12,135920.62
14,134673.80
16,130056.40
18,136162.24
20,127287.20
25,128700.70
30,129183.22
35,128211.40
40,126117.12
1,19193.89
2,37937.29
4,78613.84
6,114256.70
8,128998.54
10,133957.84
12,134733.08
14,135891.33
16,132586.83
18,135256.90
20,127836.75
25,128310.80
30,127809.39
35,129198.57
40,126992.97
1,4547.75
2,37827.55
4,78949.88
6,114035.29
8,128332.81
10,134444.08
12,135973.90
14,135284.63
16,133305.48
18,136688.24
20,128154.84
25,128713.56
30,129045.52
35,128968.19
40,128527.01
1,18959.96
2,38004.06
4,78369.87
6,113848.08
8,128632.24
10,134405.98
12,135488.59
14,134783.43
16,132544.69
18,134807.65
20,126937.86
25,125390.29
30,129272.32
35,129138.91
40,127905.56
1,18852.77
2,38117.23
4,78749.47
6,112383.50
8,127493.93
10,133558.21
12,135221.39
14,134082.25
16,132126.35
18,135232.69
20,127202.40
25,128232.39
30,129128.76
35,129066.48
40,129377.27
1,19491.00
2,38208.03
4,78086.26
6,112295.81
8,130454.93
10,135873.06
12,135942.23
14,133720.69
16,131040.43
18,135343.11
20,125983.93
25,127315.14
30,127938.45
35,129070.63
40,128619.52
1,4600.80
2,38486.00
4,79481.93
6,111806.79
8,130382.61
10,135038.75
12,135195.92
14,130811.64
16,132552.46
18,135029.59
20,127477.43
25,128385.50
30,128275.63
35,130184.03
40,129560.61
1,19647.45
2,37579.72
4,79146.69
6,111237.82
8,129816.13
10,135409.17
12,135175.18
14,132640.77
16,132465.58
18,136836.97
20,129115.36
25,128892.00
30,127065.88
35,129227.93
40,128796.20
1,18942.05
2,37154.33
4,78898.09
6,110065.61
8,128105.64
10,134761.35
12,134819.45
14,132215.98
16,131767.98
18,135030.25
20,127009.27
25,130379.28
30,127732.02
35,129405.34
40,128399.55
1,18487.80
2,36851.52
4,80132.03
6,108855.11
8,126579.45
10,134846.75
12,135399.78
14,131740.18
16,133794.51
18,136054.72
20,125778.71
25,130855.96
30,129843.91
35,129479.24
40,128381.84
1,4874.31
2,38202.26
4,78964.72
6,111657.75
8,128607.49
10,134393.77
12,135465.92
14,131590.00
16,131858.48
18,135482.89
20,127392.01
25,129659.86
30,129349.90
35,128609.85
40,129736.72
