"Epoch","Req/sec"
1506570192,165806.32
1506570500,173651.98
1506570808,160943.00
1506571116,169902.24
1506571424,162826.70
1506571733,159556.72
1506572041,153597.56
1506572348,168306.86
1506572657,162816.03
1506572965,171110.86
1506573272,163906.10
1506573580,167105.40
1506573889,162296.97
1506574197,164519.81
1506574504,165198.02
1506574812,165170.42
1506575120,170418.05
1506575428,175127.64
1506575736,141836.24
1506576044,154416.13
1506576352,148958.17
1506576661,141809.15
1506576970,132998.60
1506577279,97589.33
1506577589,105560.06
1506577900,92776.29
1506578211,84079.51
1506578521,111969.79
1506578832,91480.84
1506579141,129709.64
1506579450,138510.75
1506579759,114380.43
1506580068,148800.01
1506580376,136803.32
1506580685,142172.41
1506580994,151908.54
1506581302,140788.87
1506581611,150549.91
1506581919,146915.87
1506582227,142045.65
1506582535,142504.39
1506582844,141002.06
1506583152,158331.74
1506583460,157222.13
1506583768,148235.85
1506584076,163188.63
1506584383,152962.35
1506584691,154330.70
1506584999,163470.94
1506585307,151461.81
1506585615,148739.39
1506585923,151084.36
1506586231,158867.83
1506586539,157029.99
1506586847,161593.04
1506587155,163507.81
1506587463,158869.77
1506587771,164499.14
1506588079,163898.35
1506588386,158643.67
1506588694,167281.67
1506589002,157551.36
1506589310,153366.55
1506589618,161431.49
1506589926,141652.64
1506590234,152701.40
1506590542,152193.43
1506590850,161359.15
1506591158,156115.31
1506591466,161072.32
1506591774,158890.03
1506592082,151692.24
1506592390,140568.80
1506592698,150452.40
1506593006,157498.36
1506593314,156517.09
1506593622,151814.63
1506593930,167380.62
1506594238,138486.77
1506594547,147577.86
1506594855,142128.87
1506595163,152990.94
1506595471,129633.64
1506595779,138651.06
1506596088,153779.84
1506596396,152419.08
1506596704,145555.28
1506597012,158408.81
1506597320,154990.38
1506597628,142346.45
1506597936,151541.08
1506598244,154823.44
1506598552,139804.91
1506598861,138392.52
1506599169,136029.49
1506599477,141130.24
1506599785,138161.32
1506600093,114826.70
1506600404,90793.49
1506600714,112813.00
