"# of pods","Req/sec"
1,15122.05
2,28463.81
4,47013.35
6,47522.43
8,47270.37
10,48008.47
12,47483.92
14,48164.45
16,46969.67
18,46843.01
20,47345.97
25,47093.41
30,47171.56
35,47135.52
40,46762.15
1,14118.37
2,26404.76
4,47361.01
6,47516.67
8,47759.67
10,48000.19
12,48145.40
14,47090.53
16,47279.24
18,47302.51
20,47684.52
25,47169.09
30,47446.29
35,46596.67
40,46614.30
1,13003.65
2,29264.78
4,47309.66
6,47760.53
8,47082.90
10,47199.04
12,46683.70
14,46812.63
16,47290.13
18,47158.76
20,47256.76
25,47497.82
30,46939.87
35,47368.05
40,47568.71
1,13704.28
2,27993.52
4,47254.20
6,47080.36
8,47055.12
10,46994.22
12,47198.87
14,47520.52
16,47998.10
18,47307.74
20,45564.15
25,45081.22
30,45520.50
35,44323.03
40,45179.38
1,13880.74
2,28477.15
4,45089.11
6,46258.52
8,46413.32
10,45715.17
12,45531.83
14,45384.30
16,47509.00
18,46993.76
20,47820.37
25,46898.29
30,46929.57
35,47099.86
40,47394.56
1,14303.30
2,27293.29
4,47233.10
6,47049.96
8,47731.48
10,47945.30
12,46700.64
14,47616.28
16,47862.62
18,48180.25
20,46429.52
25,47440.97
30,47110.63
35,47028.42
40,47069.61
1,14197.41
2,28452.91
4,48391.72
6,47419.18
8,47046.60
10,47269.90
12,47830.89
14,46970.04
16,47636.44
18,47545.71
20,47674.26
25,47313.84
30,46898.70
35,47322.80
40,47132.29
1,14047.99
2,27640.63
4,47737.61
6,48060.73
8,47233.45
10,48195.40
12,47892.35
14,48239.51
16,47653.72
18,47523.84
20,46905.23
25,47266.83
30,46938.51
35,47193.79
40,46979.86
1,14175.20
2,29657.47
4,47493.28
6,47643.24
8,47741.17
10,47467.51
12,46475.62
14,47226.75
16,47165.63
18,47323.56
20,47898.40
25,47305.68
30,47622.71
35,47659.72
40,46438.24
1,14193.44
2,27529.93
4,47765.79
6,47811.35
8,47133.50
10,47788.20
12,47940.02
14,48880.68
16,48154.33
18,46136.50
20,47301.49
25,46605.24
30,47346.32
35,47259.36
40,46471.59
