"Payload size","Req/sec","Byte/sec"
10,185879.49,46.08
20,182829.95,47.24
30,180133.16,48.26
40,177574.44,49.27
50,175106.74,50.26
60,172713.85,51.22
70,170335.62,52.14
80,168047.24,53.04
90,165818.18,53.92
100,163196.76,54.78
200,144347.64,62.22
300,129095.59,68.08
400,117015.02,72.87
500,106996.38,76.83
600,98558.05,80.17
700,91324.17,83.00
800,85101.04,85.46
900,79668.45,87.60
1000,74957.26,89.64
1100,67407.35,87.04
1200,66836.08,92.68
1300,63425.97,94.00
1400,60354.95,95.20
1500,55318.83,92.53
1600,52960.06,93.64
1700,50779.32,94.62
1800,48787.84,95.57
1900,46998.53,96.54
2000,45263.45,97.30
2100,43730.08,98.17
2200,42198.09,98.76
2300,40816.72,99.42
2400,39496.57,99.97
2500,38293.46,100.57
2600,37131.32,101.06
2700,36036.39,101.52
2800,35023.75,102.01
2900,33007.00,99.28
3000,32154.17,99.78
4000,25578.22,103.77
5000,20776.89,104.12
6000,17482.63,104.29
7000,15315.63,105.97
8000,13441.91,105.84
9000,11995.21,105.91
10000,10898.90,106.69
