"Percentile","Latency [msec]"
0.01,0.378
0.02,0.416
0.03,0.442
0.04,0.464
0.05,0.484
0.06,0.502
0.07,0.52
0.08,0.538
0.09,0.556
0.1,0.573
0.11,0.59
0.12,0.607
0.13,0.624
0.14,0.641
0.15,0.658
0.16,0.674
0.17,0.691
0.18,0.708
0.19,0.725
0.2,0.742
0.21,0.759
0.22,0.777
0.23,0.795
0.24,0.813
0.25,0.832
0.26,0.851
0.27,0.871
0.28,0.892
0.29,0.915
0.3,0.938
0.31,0.963
0.32,0.989
0.33,1.016
0.34,1.048
0.35,1.084
0.36,1.125
0.37,1.17
0.38,1.216
0.39,1.262
0.4,1.309
0.41,1.357
0.42,1.41
0.43,1.466
0.44,1.516
0.45,1.565
0.46,1.63
0.47,1.726
0.48,1.862
0.49,2.037
0.5,2.241
0.51,2.42
0.52,2.555
0.53,2.788
0.54,3.034
0.55,3.24
0.56,3.517
0.57,3.782
0.58,4.379
0.59,4.628
0.6,4.905
0.61,5.19
0.62,5.498
0.63,5.876
0.64,6.304
0.65,6.919
0.66,7.479
0.67,8.016
0.68,8.43
0.69,8.728
0.7,8.987
0.71,9.275
0.72,9.567
0.73,9.892
0.74,10.29
0.75,10.773
0.76,11.427
0.77,12.028
0.78,12.781
0.79,13.621
0.8,15.125
0.81,27.575
0.82,68.73
0.83,112.148
0.84,157.26
0.85,203.855
0.86,251.725
0.87,300.875
0.88,351.503
0.89,403.508
0.9,457.132
0.91,513.833
0.92,575.177
0.93,640.432
0.94,709.748
0.95,785.119
0.96,869.66
0.97,969.952
0.98,1081.89
0.99,1221.42
