"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.368,1.186,4.456
20000,0.317,1.11,4.046
30000,0.315,1.322,5.276
40000,0.286,1.417,11.448
50000,0.269,1.74,47.744
60000,0.267,2.169,68.608
70000,0.255,2.877,152.576
80000,0.283,5.351,1022.98
90000,0.282,10.951,1515.52
100000,0.282,207.231,3119.1
110000,0.328,1377.28,8806.4
120000,0.701,2955.26,10453
130000,1300.48,4329.47,8544.26
140000,111.936,5517.31,10698.8
150000,1373.18,6447.1,15204.4
160000,1573.89,7258.11,13942.8
170000,719.872,8175.61,20021.2
180000,1658.88,8716.29,15949.8
190000,1944.58,9191.42,22659.1
200000,3328,9854.98,17874.9
