"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.276,1.116,3.584
20000,0.281,1.06,4.628
30000,0.296,1.329,19.104
40000,0.255,1.494,52.352
50000,0.255,2.095,1292.29
60000,0.257,3.573,1440.77
70000,0.256,1087.49,11649
80000,0.257,1347.58,22003.7
90000,0.256,3368.96,25280.5
100000,0.262,5025.79,24018.9
110000,0.262,6041.6,25116.7
120000,0.285,6938.62,24543.2
130000,0.277,8253.44,26099.7
140000,0.287,8994.82,26329.1
150000,0.24,9592.83,25919.5
160000,0.301,10256.4,26542.1
170000,0.27,10903.6,26968.1
180000,0.255,11182.1,29491.2
190000,0.351,11878.4,27803.6
200000,0.363,12271.6,27426.8
