"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_36.csv -i 1 35",,,,"Date:","14 Dec 2018 04:21:11 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"net/veth31e08a5",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","29","30","31"
1544728871.552,0.375,0.189,99.199,0.002,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,179.723,189.599,310.178
1544728872.552,0.125,0.125,88.667,0.0,0.0,11.083,7222639.0,7192154.0,16657607.0,18594547.0,18572021.0,18580359.0,7167.0,6915.0,6692.0
1544728873.552,0.062,0.125,39.725,0.0,0.0,60.087,112061303.0,111683874.0,95450139.0,106319556.0,106331658.0,106332108.0,37270.0,35613.0,34910.0
1544728874.553,0.0,0.063,39.087,0.0,0.0,60.851,112100805.0,111758925.0,95565880.0,106427141.0,106412606.0,106426630.0,36763.0,35167.0,34610.0
1544728875.552,0.188,0.063,38.149,0.0,0.0,61.601,112061286.0,111758733.0,95465330.0,106298735.0,106298775.0,106295750.0,36791.0,35537.0,34822.0
1544728876.552,0.062,0.125,36.080,0.0,0.0,63.733,112116177.0,111761347.0,95491333.0,106330546.0,106333124.0,106333074.0,36588.0,34821.0,34489.0
1544728877.552,1.063,0.313,38.524,0.0,0.0,60.100,0.0,0.0,95545946.0,106391895.0,106386124.0,106386377.0,37762.0,36005.0,35545.0
1544728878.552,1.251,0.375,38.086,0.0,0.0,60.288,112048535.0,111763755.0,94607384.0,105351718.0,105349324.0,105354219.0,36726.0,34860.0,34630.0
1544728879.552,0.062,0.062,35.0,0.0,0.0,64.875,111107056.0,110469385.0,95312982.0,106131467.0,106130327.0,106133917.0,34800.0,33148.0,32923.0
1544728880.552,0.062,0.187,38.289,0.0,0.0,61.462,111875831.0,111644482.0,95471308.0,106307967.0,106308194.0,106308037.0,35915.0,34213.0,33919.0
