"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_6.csv -i 1 65",,,,"Date:","14 Dec 2018 08:06:28 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","29","30","31"
1544742388.894,0.375,0.189,99.168,0.002,0.0,0.266,0.0,0.0,0.0,0.0,199.991,209.545,329.214
1544742389.895,0.125,0.062,87.049,0.0,0.0,12.765,376554.0,366995.0,15440951.0,17279576.0,7137.0,6837.0,7031.0
1544742390.895,0.0,0.062,45.750,0.0,0.0,54.188,84040997.0,84029387.0,73078192.0,81367230.0,31184.0,30757.0,30807.0
1544742391.895,0.188,0.125,46.110,0.0,0.0,53.576,90564425.0,90563122.0,77934462.0,86773856.0,32539.0,32045.0,32129.0
1544742392.896,0.062,0.0,44.147,0.0,0.0,55.791,94975459.0,94977222.0,81213171.0,90424104.0,33269.0,32806.0,32862.0
1544742393.895,2.438,0.250,45.250,0.0,0.0,52.062,90719045.0,90678901.0,76107064.0,84751498.0,32858.0,32479.0,32450.0
1544742394.895,0.0,0.062,45.438,0.0,0.0,54.500,89234010.0,89226364.0,76946371.0,85670990.0,32181.0,31628.0,31690.0
1544742395.895,0.251,0.0,41.808,0.0,0.0,57.941,95848623.0,95847057.0,81724209.0,90993179.0,33454.0,32896.0,32951.0
1544742396.895,0.062,0.125,43.375,0.0,0.0,56.438,97179749.0,97176332.0,82499036.0,91858997.0,33510.0,33189.0,32986.0
1544742397.895,0.125,0.062,42.688,0.0,0.0,57.125,96438254.0,96432467.0,82513191.0,91878953.0,33632.0,33113.0,33158.0
1544742398.895,0.0,0.0,42.564,0.0,0.0,57.436,96798197.0,96786117.0,82500459.0,91865373.0,33501.0,33122.0,33047.0
1544742399.895,0.063,0.125,43.413,0.0,0.0,56.399,0.0,0.0,81076541.0,90273853.0,33310.0,32790.0,32763.0
1544742400.895,0.0,0.125,42.375,0.0,0.0,57.500,95104680.0,95102854.0,81687321.0,90951266.0,33367.0,33002.0,32871.0
1544742401.895,0.125,0.188,39.625,0.0,0.0,60.062,95925167.0,95919817.0,82370914.0,91713846.0,33268.0,32988.0,32791.0
