"# of pods","Req/sec","ave. cpu idle"
1,22477.92,91.9644
2,47310.07,87.3245
4,96260.13,80.7499
6,158802.35,76.019
8,193896.41,67.679
10,195098.48,67.7707
12,195546.76,68.508
14,195038.49,67.6561
16,195220.55,68.4271
18,195406.85,66.8669
20,195501.87,66.7944
22,195136.00,67.9171
24,194797.88,66.3429
26,195610.04,68.2553
28,195032.89,66.7904
30,195262.14,66.9658
32,195347.66,67.2851
34,195517.21,67.3496
36,195248.61,66.537
38,194878.56,67.0984
40,195066.77,67.0347
42,195235.26,67.0251
44,195380.99,66.8721
46,194920.03,67.2533
48,195125.44,67.2438
50,194888.49,66.7547
