"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_25.csv -i 1 65",,,,"Date:","25 Jun 2019 14:30:14 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","41","42","43"
1561440614.966,0.380,0.221,91.249,0.004,0.0,8.146,0.0,0.0,0.0,0.0,1684.247,1381.686,0.005
1561440615.967,1.501,0.375,85.428,0.0,0.0,12.695,21128181.0,20859156.0,18731799.0,21064083.0,2669.0,1642.0,0.0
1561440616.967,0.0,0.188,18.500,0.125,0.0,81.188,145450295.0,145179920.0,130368060.0,145433430.0,2391.0,2403.0,0.0
1561440617.967,0.125,0.125,18.562,0.0,0.0,81.188,151566232.0,151571087.0,136135987.0,151571478.0,2493.0,2504.0,0.0
1561440618.967,0.0,0.062,18.812,0.0,0.0,81.125,151689659.0,151705787.0,136247938.0,151695424.0,2494.0,2505.0,0.0
1561440619.967,0.062,0.062,18.625,0.0,0.0,81.250,151540045.0,151504774.0,136099003.0,151525461.0,2491.0,2505.0,0.0
1561440620.967,0.0,0.062,18.750,0.0,0.0,81.188,151374059.0,151368777.0,135942081.0,151375625.0,2491.0,2501.0,0.0
1561440621.967,0.063,0.125,18.574,0.0,0.0,81.238,151493624.0,151519952.0,136086625.0,151500973.0,2492.0,2507.0,0.0
1561440622.967,0.062,0.125,18.688,0.0,0.0,81.125,151642817.0,151594755.0,136154715.0,151643598.0,2491.0,2504.0,0.0
1561440623.967,0.062,0.0,18.688,0.0,0.0,81.250,151591090.0,151590628.0,136168119.0,151589641.0,2493.0,2504.0,0.0
1561440624.967,0.125,0.188,18.438,0.0,0.0,81.250,151679458.0,151672867.0,136220193.0,151672843.0,2494.0,2507.0,0.0
1561440625.967,0.750,0.188,17.875,0.0,0.0,81.188,151343197.0,151345076.0,135942478.0,151340687.0,2498.0,2511.0,0.0
1561440626.967,1.562,0.375,16.875,0.0,0.0,81.188,151035982.0,150945162.0,135582004.0,150955195.0,2499.0,2511.0,0.0
1561440627.967,0.062,0.125,18.613,0.062,0.0,81.137,151990022.0,151983103.0,136501167.0,151989711.0,2501.0,2511.0,0.0
1561440628.967,0.0,0.0,18.750,0.0,0.0,81.250,152224096.0,152225017.0,136724921.0,152219176.0,2501.0,2513.0,0.0
1561440629.967,0.0,0.125,18.637,0.0,0.0,81.238,152022182.0,152023371.0,136542384.0,152026552.0,2500.0,2512.0,0.0
1561440630.967,0.125,0.187,18.613,0.0,0.0,81.074,152161623.0,152158852.0,136666486.0,152165474.0,2503.0,2515.0,0.0
1561440631.967,0.062,0.188,18.625,0.0,0.0,81.125,151470083.0,151371524.0,135946225.0,151463571.0,2490.0,2502.0,1.0
1561440632.967,0.0,0.062,18.688,0.0,0.0,81.250,151715714.0,151685760.0,136254385.0,151709763.0,2491.0,2502.0,0.0
1561440633.967,0.313,0.188,18.261,0.063,0.0,81.176,151512421.0,151512564.0,136091082.0,151520080.0,2487.0,2496.0,0.0
1561440634.967,0.125,0.125,18.613,0.0,0.0,81.137,151753185.0,151754080.0,136293291.0,151746075.0,2486.0,2498.0,0.0
1561440635.967,0.062,0.188,18.625,0.0,0.0,81.125,151580777.0,151573973.0,136132004.0,151581943.0,2489.0,2497.0,0.0
1561440636.967,1.939,0.438,16.385,0.0,0.0,81.238,149848154.0,149784909.0,134525902.0,149777093.0,2479.0,2488.0,0.0
1561440637.967,0.250,0.125,18.426,0.0,0.0,81.199,151487578.0,151479437.0,136064476.0,151481071.0,2484.0,2497.0,0.0
1561440638.967,0.0,0.125,18.738,0.0,0.0,81.137,151284075.0,151272672.0,135871338.0,151279140.0,2480.0,2490.0,0.0
1561440639.967,0.063,0.063,18.637,0.0,0.0,81.238,151046891.0,151031855.0,135655010.0,151041394.0,2481.0,2489.0,0.0
1561440640.967,0.0,0.063,18.699,0.0,0.0,81.238,150847074.0,150840111.0,135470005.0,150854948.0,2474.0,2484.0,0.0
1561440641.967,0.125,0.125,18.562,0.0,0.0,81.188,150630436.0,150621877.0,135304057.0,150625894.0,2470.0,2482.0,0.0
1561440642.967,0.062,0.125,18.738,0.0,0.0,81.074,150778784.0,150772489.0,135419592.0,150779620.0,2476.0,2483.0,0.0
1561440643.967,0.063,0.0,18.637,0.0,0.0,81.301,151060906.0,151042489.0,135657136.0,151053580.0,2475.0,2487.0,0.0
1561440644.967,0.250,0.125,18.500,0.0,0.0,81.125,150978554.0,150987630.0,135609638.0,150981314.0,2479.0,2487.0,0.0
1561440645.967,0.062,0.125,18.613,0.062,0.0,81.137,151062877.0,151071489.0,135689932.0,151062945.0,2479.0,2487.0,0.0
1561440646.967,1.251,0.500,84.740,0.0,0.0,13.508,24142992.0,24595197.0,22032863.0,24057123.0,902.0,1029.0,0.0
1561440647.967,0.125,0.125,40.537,0.0,0.0,59.213,61925436.0,76707792.0,66289938.0,61924384.0,4069.0,3947.0,0.0
1561440648.967,0.0,0.125,22.139,0.0,0.0,77.736,90532876.0,112395658.0,97115190.0,90535690.0,2701.0,2717.0,0.0
1561440649.967,0.062,0.125,22.174,0.0,0.0,77.639,90501308.0,112316386.0,97045396.0,90499090.0,2717.0,2731.0,0.0
1561440650.967,0.063,0.063,22.076,0.0,0.0,77.799,91655616.0,113694278.0,98244088.0,91656578.0,2730.0,2733.0,0.0
1561440651.967,0.125,0.125,21.424,0.062,0.0,78.264,93975628.0,116603328.0,100762990.0,93972502.0,2731.0,2732.0,0.0
1561440652.967,0.0,0.125,21.049,0.0,0.0,78.826,93434519.0,115935285.0,100177057.0,93432161.0,2732.0,2737.0,0.0
