"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_15.csv -i 1 65",,,,"Date:","25 Jun 2019 03:21:29 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","41","42","43"
1561400489.043,0.387,0.238,91.825,0.008,0.0,7.542,0.0,0.0,0.0,0.0,2144.831,2239.659,0.007
1561400490.044,0.125,0.062,85.322,0.0,0.0,14.491,25566525.0,25331517.0,22751094.0,25554690.0,1445.0,1218.0,0.0
1561400491.044,0.125,0.0,18.574,0.0,0.0,81.301,111221886.0,110979323.0,99643594.0,111222093.0,1849.0,1850.0,0.0
1561400492.044,0.062,0.187,18.551,0.062,0.0,81.137,152554932.0,152563143.0,137026335.0,152552076.0,2529.0,2531.0,0.0
1561400493.044,0.187,0.187,18.551,0.0,0.0,81.074,152628157.0,152628523.0,137087518.0,152633533.0,2531.0,2532.0,0.0
1561400494.044,0.0,0.0,18.711,0.0,0.0,81.289,152560297.0,152582231.0,137050599.0,152560289.0,2531.0,2530.0,0.0
1561400495.044,0.062,0.125,18.727,0.0,0.0,81.086,152738267.0,152699562.0,137148383.0,152730680.0,2529.0,2529.0,0.0
1561400496.044,0.0,0.0,18.699,0.0,0.0,81.301,152954859.0,152939882.0,137357077.0,152957798.0,2532.0,2533.0,0.0
1561400497.044,1.688,0.438,16.625,0.0,0.0,81.250,152110032.0,152058819.0,136586703.0,152065219.0,2535.0,2535.0,0.0
1561400498.044,0.0,0.062,18.738,0.0,0.0,81.199,153032536.0,153021458.0,137441393.0,153029762.0,2537.0,2537.0,0.0
1561400499.044,0.250,0.063,18.449,0.0,0.0,81.238,152863039.0,152851714.0,137290984.0,152866646.0,2538.0,2538.0,0.0
1561400500.044,0.062,0.125,18.625,0.0,0.0,81.188,153127058.0,153120625.0,137517842.0,153108907.0,2540.0,2540.0,0.0
