"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_25.csv -i 1 65",,,,"Date:","25 Jun 2019 17:05:49 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","41","42","43"
1561449949.485,0.388,0.226,89.872,0.004,0.0,9.511,0.0,0.0,0.0,0.0,2008.556,1472.679,0.005
1561449950.486,1.930,0.498,80.511,0.0,0.0,17.061,30604504.0,30182113.0,27111130.0,30546237.0,4825.0,1640.0,0.0
1561449951.486,0.375,0.375,11.875,0.0,0.0,87.375,167572684.0,167437568.0,150360408.0,167569086.0,3770.0,2477.0,1.0
1561449952.486,0.062,0.062,12.492,0.0,0.0,87.383,168433079.0,168433827.0,151287254.0,168429459.0,3861.0,2483.0,0.0
1561449953.486,0.062,0.125,12.375,0.0,0.0,87.438,168247736.0,168278562.0,151130523.0,168249644.0,3869.0,2482.0,0.0
1561449954.486,0.125,0.062,12.312,0.062,0.0,87.438,168306674.0,168267416.0,151139988.0,168301078.0,3876.0,2485.0,0.0
1561449955.486,0.250,0.188,12.125,0.0,0.0,87.438,168282522.0,168251865.0,151129254.0,168279865.0,3854.0,2485.0,0.0
1561449956.486,0.188,0.250,12.250,0.0,0.0,87.312,168660266.0,168678421.0,151495965.0,168669926.0,3842.0,2491.0,0.0
1561449957.486,0.0,0.125,12.375,0.0,0.0,87.500,168743753.0,168749749.0,151555283.0,168748355.0,3873.0,2492.0,0.0
1561449958.486,0.125,0.125,12.375,0.0,0.0,87.375,168884394.0,168834414.0,151649294.0,168862907.0,3875.0,2492.0,0.0
1561449959.486,0.125,0.125,12.312,0.0,0.0,87.438,168708258.0,168716731.0,151545094.0,168706771.0,3881.0,2491.0,0.0
1561449960.486,0.062,0.125,12.312,0.0,0.0,87.500,168733172.0,168724081.0,151534870.0,168737772.0,3888.0,2492.0,0.0
1561449961.486,2.314,0.500,9.694,0.0,0.0,87.492,153934166.0,153854491.0,138192588.0,153862646.0,3303.0,2317.0,0.0
1561449962.486,0.062,0.062,12.375,0.0,0.0,87.500,164391336.0,164385570.0,147645216.0,164386611.0,3783.0,2426.0,0.0
1561449963.486,0.062,0.125,12.430,0.0,0.0,87.383,168885530.0,168878699.0,151682673.0,168878125.0,3868.0,2491.0,0.0
1561449964.486,0.062,0.125,12.375,0.0,0.0,87.438,168817576.0,168819223.0,151625058.0,168822057.0,3863.0,2493.0,0.0
1561449965.486,0.125,0.250,12.250,0.062,0.0,87.312,168699711.0,168697628.0,151521099.0,168698177.0,3850.0,2489.0,0.0
1561449966.486,0.125,0.188,12.195,0.0,0.0,87.492,168450244.0,168345136.0,151201274.0,168451397.0,3839.0,2483.0,0.0
1561449967.486,0.062,0.125,12.430,0.0,0.0,87.383,168291412.0,168305425.0,151167014.0,168291303.0,3862.0,2484.0,0.0
1561449968.486,0.187,0.125,12.305,0.0,0.0,87.383,168271536.0,168265891.0,151123791.0,168261728.0,3835.0,2482.0,0.0
1561449969.486,0.125,0.188,12.140,0.0,0.0,87.547,168033356.0,168056409.0,150942995.0,168022683.0,3838.0,2484.0,0.0
1561449970.486,0.125,0.062,12.367,0.0,0.0,87.445,168317465.0,168292128.0,151162104.0,168323599.0,3880.0,2484.0,0.0
1561449971.486,2.752,0.438,9.256,0.0,0.0,87.555,164976403.0,164881532.0,148093935.0,164908469.0,3430.0,2474.0,0.0
