"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_10.csv -i 1 65",,,,"Date:","25 Jun 2019 16:51:52 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","41","42","43"
1561449112.354,0.387,0.226,90.131,0.004,0.0,9.252,0.0,0.0,0.0,0.0,1857.532,1427.686,0.005
1561449113.355,0.375,0.125,91.057,0.0,0.0,8.443,8124816.0,10048122.0,8675057.0,8093032.0,7657.0,5058.0,0.0
1561449114.355,0.125,0.125,62.711,0.0,0.0,37.039,35320045.0,43818156.0,37860670.0,35319881.0,33753.0,25294.0,0.0
1561449115.355,0.062,0.0,61.188,0.0,0.0,38.750,40392068.0,50116006.0,43304624.0,40390644.0,37250.0,27955.0,0.0
1561449116.355,0.0,0.125,60.375,0.0,0.0,39.500,44216404.0,54873248.0,47413894.0,44216290.0,40501.0,29439.0,0.0
1561449117.355,0.125,0.125,58.938,0.0,0.0,40.812,44235528.0,54871146.0,47412260.0,44220349.0,40589.0,30027.0,0.0
1561449118.355,0.0,0.0,60.788,0.0,0.0,39.212,44413484.0,55117808.0,47624198.0,44413534.0,41120.0,29798.0,0.0
1561449119.355,0.062,0.062,59.151,0.0,0.0,40.725,44700942.0,55459264.0,47921664.0,44699418.0,41354.0,30124.0,0.0
1561449120.355,0.0,0.062,60.188,0.0,0.0,39.750,44752306.0,55515808.0,47970388.0,44751544.0,41437.0,30427.0,0.0
1561449121.355,0.062,0.125,61.062,0.0,0.0,38.750,44769485.0,55551867.0,47998171.0,44768053.0,41024.0,29999.0,0.0
1561449122.355,0.0,0.063,60.350,0.0,0.0,39.587,44687617.0,55446374.0,47910872.0,44687915.0,41014.0,30167.0,0.0
1561449123.355,2.125,0.562,57.250,0.0,0.0,40.062,44808946.0,55563691.0,48011234.0,44777984.0,40177.0,29614.0,0.0
1561449124.355,0.125,0.125,60.600,0.0,0.0,39.149,43973956.0,54558497.0,47139981.0,43973658.0,40479.0,30132.0,0.0
1561449125.355,0.062,0.125,61.212,0.0,0.0,38.601,44378060.0,55063514.0,47580562.0,44376538.0,40732.0,30152.0,0.0
1561449126.355,0.438,0.062,58.812,0.0,0.0,40.688,44335104.0,55018566.0,47538846.0,44335036.0,40485.0,29475.0,0.0
1561449127.355,0.250,0.063,59.099,0.0,0.0,40.588,44533280.0,55242780.0,47731784.0,44518201.0,39981.0,28689.0,0.0
1561449128.355,0.0,0.062,59.151,0.0,0.0,40.787,43883469.0,54454139.0,47054151.0,43883109.0,40049.0,29108.0,0.0
1561449129.355,0.0,0.062,60.500,0.0,0.0,39.438,44193210.0,54830594.0,47376920.0,44191812.0,39845.0,30148.0,0.0
1561449130.355,0.062,0.0,60.938,0.062,0.0,38.938,44217503.0,54865180.0,47405418.0,44217531.0,39950.0,30171.0,0.0
1561449131.355,0.062,0.125,59.812,0.0,0.0,40.0,44361906.0,55044510.0,47562338.0,44360218.0,40137.0,30031.0,0.0
1561449132.355,0.062,0.0,60.250,0.0,0.0,39.688,44921569.0,55736832.0,48161126.0,44921763.0,40702.0,29933.0,0.0
1561449133.355,1.749,0.187,58.463,0.0,0.0,39.600,44646406.0,55399236.0,47863034.0,44640602.0,40658.0,29354.0,0.0
1561449134.355,0.375,0.063,59.412,0.0,0.0,40.150,44713161.0,55434881.0,47904486.0,44687507.0,40086.0,28073.0,0.0
1561449135.355,0.062,0.125,60.275,0.0,0.0,39.538,44687710.0,55451946.0,47913924.0,44686380.0,40973.0,29908.0,0.0
1561449136.355,0.063,0.125,60.538,0.0,0.0,39.275,44830715.0,55632331.0,48070687.0,44830659.0,41045.0,30003.0,0.0
1561449137.355,0.062,0.125,59.812,0.0,0.0,40.0,44652652.0,55387242.0,47858040.0,44636543.0,40757.0,29896.0,0.0
1561449138.355,0.062,0.062,59.588,0.0,0.0,40.287,44661223.0,55424015.0,47889732.0,44661620.0,40991.0,30094.0,0.0
1561449139.355,0.0,0.062,58.438,0.0,0.0,41.500,44710046.0,55473932.0,47931856.0,44708584.0,41052.0,29728.0,0.0
1561449140.355,0.0,0.0,60.075,0.0,0.0,39.925,44723545.0,55489238.0,47946964.0,44722715.0,40960.0,29745.0,0.0
1561449141.355,0.125,0.125,59.213,0.0,0.0,40.537,44692589.0,55457278.0,47916770.0,44690044.0,41019.0,29776.0,0.0
1561449142.355,0.062,0.0,58.562,0.0,0.0,41.375,44678053.0,55431420.0,47900370.0,44679183.0,40847.0,29728.0,0.0
1561449143.355,0.125,0.125,58.750,0.0,0.0,41.0,44827298.0,55623897.0,48061459.0,44826290.0,40659.0,29976.0,0.0
1561449144.355,2.126,0.500,92.745,0.313,0.0,4.315,4870726.0,5977234.0,5150426.0,4809749.0,4660.0,3489.0,0.0
1561449145.355,0.062,0.062,99.875,0.0,0.0,0.0,6592.0,1300.0,718.0,5410.0,1.0,1.0,0.0
1561449146.355,0.188,0.188,99.625,0.0,0.0,0.0,288.0,928.0,492.0,222.0,0.0,0.0,0.0
1561449147.355,0.188,0.125,99.688,0.0,0.0,0.0,21296.0,3492.0,1070.0,6017.0,5.0,1.0,0.0
1561449148.355,0.062,0.125,99.750,0.0,0.0,0.062,274.0,912.0,448.0,148.0,0.0,0.0,0.0
1561449149.355,0.188,0.125,99.688,0.0,0.0,0.0,10056.0,1926.0,1190.0,8766.0,1.0,1.0,0.0
1561449150.355,0.062,0.125,99.688,0.062,0.0,0.062,14992.0,2338.0,1234.0,14002.0,2.0,1.0,0.0
1561449151.355,0.188,0.125,99.687,0.0,0.0,0.0,11645.0,2575.0,1773.0,9833.0,1.0,1.0,0.0
1561449152.355,0.125,0.0,99.875,0.0,0.0,0.0,8283.0,1728.0,1138.0,7953.0,4.0,0.0,0.0
1561449153.355,0.250,0.250,99.500,0.0,0.0,0.0,5788.0,1134.0,552.0,4564.0,1.0,2.0,0.0
1561449154.355,1.688,0.312,98.0,0.0,0.0,0.0,41848.0,2768.0,1287.0,11846.0,17.0,4.0,0.0
1561449155.355,0.125,0.062,99.750,0.0,0.0,0.062,7000.0,1448.0,810.0,5776.0,1.0,6.0,0.0
1561449156.355,0.062,0.250,99.688,0.0,0.0,0.0,288.0,928.0,492.0,222.0,0.0,0.0,0.0
1561449157.355,0.250,0.125,99.625,0.0,0.0,0.0,21230.0,3294.0,1122.0,5951.0,1.0,1.0,0.0
1561449158.355,0.062,0.0,99.938,0.0,0.0,0.0,2739.0,1849.0,1291.0,2151.0,0.0,0.0,0.0
1561449159.355,0.0,0.062,99.875,0.0,0.0,0.062,10116.0,1952.0,1174.0,8766.0,1.0,1.0,0.0
1561449160.355,0.125,0.063,99.812,0.0,0.0,0.0,6685.0,1316.0,810.0,6421.0,0.0,0.0,0.0
1561449161.355,0.187,0.250,99.501,0.062,0.0,0.0,8568.0,1514.0,862.0,7278.0,2.0,1.0,0.0
1561449162.355,0.0,0.125,99.875,0.0,0.0,0.0,8283.0,1580.0,1018.0,7953.0,8.0,0.0,0.0
1561449163.354,0.062,0.062,99.875,0.0,0.0,0.0,6664.0,1852.0,646.0,5242.0,4.0,1.0,0.0
1561449164.355,2.189,0.438,97.373,0.0,0.0,0.0,12363.0,2240.0,1284.0,11629.0,2.0,1.0,0.0
1561449165.355,0.375,0.312,99.313,0.0,0.0,0.0,36058.0,2591.0,716.0,5302.0,1.0,1.0,0.0
1561449166.355,0.125,0.063,99.812,0.0,0.0,0.0,2842.0,2055.0,1455.0,2254.0,0.0,0.0,0.0
1561449167.355,0.125,0.125,99.750,0.0,0.0,0.0,21704.0,3508.0,1242.0,6359.0,1.0,1.0,0.0
1561449168.355,0.063,0.0,99.937,0.0,0.0,0.0,214.0,722.0,328.0,148.0,0.0,4.0,0.0
1561449169.355,0.125,0.125,99.750,0.0,0.0,0.0,10056.0,1778.0,1098.0,8742.0,5.0,5.0,0.0
1561449170.355,0.062,0.062,99.875,0.0,0.0,0.0,6685.0,1168.0,690.0,6421.0,0.0,0.0,0.0
1561449171.355,0.125,0.188,99.688,0.0,0.0,0.0,8568.0,1366.0,742.0,7278.0,1.0,1.0,0.0
1561449172.355,0.0,0.062,99.875,0.0,0.0,0.062,8283.0,1728.0,1138.0,7953.0,4.0,0.0,0.0
1561449173.355,0.063,0.063,99.875,0.0,0.0,0.0,8450.0,2435.0,1661.0,6704.0,1.0,6.0,0.0
1561449174.355,0.187,0.187,99.625,0.0,0.0,0.0,12091.0,1754.0,1164.0,11695.0,0.0,4.0,0.0
1561449175.355,1.500,0.625,97.875,0.0,0.0,0.0,36744.0,2137.0,716.0,5914.0,1.0,1.0,0.0
1561449176.355,0.125,0.125,99.750,0.0,0.0,0.0,288.0,1076.0,612.0,222.0,4.0,0.0,0.0
1561449177.355,0.125,0.062,99.750,0.0,0.0,0.062,21296.0,3376.0,1138.0,5951.0,1.0,2.0,0.0
