"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k09",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_25.csv -i 1 65",,,,"Date:","26 Jun 2019 12:09:31 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","40","41","42"
1561518571.503,0.291,0.145,99.517,0.042,0.0,0.005,0.0,0.0,0.0,0.0,0.002,0.002,0.002
1561518572.504,0.373,0.498,98.133,0.0,0.0,0.996,11884136.0,14752616.0,198.0,6082.0,0.0,0.0,0.0
1561518573.504,0.625,0.313,96.748,0.0,0.0,2.314,13838785.0,17172203.0,198.0,11187.0,1.0,1.0,1.0
1561518574.504,0.062,0.250,96.438,0.0,0.0,3.250,22014570.0,27324028.0,52.0,1088.0,0.0,0.0,0.0
1561518575.504,1.936,0.750,94.941,0.125,0.0,2.249,21969740.0,27184170.0,1223.0,9581.0,1.0,1.0,1.0
1561518576.504,0.062,0.188,95.375,0.0,0.0,4.375,42033165.0,52167324.0,198.0,4609.0,0.0,0.0,0.0
1561518577.504,0.375,0.187,94.816,0.0,0.0,4.622,46698642.0,57945400.0,250.0,10746.0,1.0,1.0,1.0
1561518578.504,0.188,0.125,95.745,0.0,0.0,3.942,47757254.0,59263352.0,80.0,1130.0,0.0,0.0,0.0
1561518579.504,0.062,0.125,95.690,0.0,0.0,4.122,48316249.0,59959650.0,198.0,7887.0,1.0,1.0,1.0
1561518580.504,0.063,0.125,95.622,0.063,0.0,4.128,44149668.0,54650934.0,104.0,3956.0,0.0,0.0,0.0
1561518581.504,0.062,0.125,96.002,0.0,0.0,3.810,33827688.0,41982510.0,146.0,2942.0,1.0,1.0,1.0
1561518582.504,0.125,0.188,96.0,0.0,0.0,3.688,39924144.0,49545322.0,198.0,6082.0,0.0,0.0,0.0
1561518583.504,0.063,0.188,95.435,0.0,0.0,4.315,45373566.0,56280802.0,1285.0,13184.0,1.0,1.0,1.0
1561518584.504,0.125,0.125,95.875,0.0,0.0,3.875,46848360.0,58137990.0,146.0,1154.0,0.0,0.0,0.0
1561518585.504,1.688,0.438,92.875,0.0,0.0,5.0,49373707.0,61182253.0,250.0,7452.0,1.0,1.0,1.0
1561518586.504,0.125,0.188,94.875,0.125,0.0,4.688,44499969.0,55227026.0,198.0,4543.0,0.0,0.0,0.0
1561518587.504,0.250,0.437,94.066,0.0,0.0,5.247,60216792.0,74711026.0,250.0,10746.0,0.0,0.0,0.0
1561518588.504,0.188,0.188,94.809,0.0,0.0,4.816,53451198.0,66368546.0,52.0,1088.0,1.0,1.0,1.0
1561518589.504,0.125,0.250,96.377,0.0,0.0,3.248,34392941.0,42656606.0,892.0,19521.0,0.0,0.0,0.0
1561518590.504,0.125,0.188,95.747,0.0,0.0,3.940,43550260.0,54051249.0,1181.0,6180.0,1.0,1.0,1.0
1561518591.504,0.125,0.187,94.691,0.250,0.0,4.747,58695734.0,72846968.0,52.0,2810.0,0.0,0.0,0.0
1561518592.504,0.125,0.250,94.628,0.0,0.0,4.997,57739592.0,71656572.0,292.0,6148.0,1.0,1.0,1.0
1561518593.504,0.125,0.313,94.371,0.0,0.0,5.191,66454161.0,82440751.0,250.0,11187.0,0.0,0.0,0.0
1561518594.504,0.250,0.188,94.434,0.0,0.0,5.128,70373652.0,87338684.0,52.0,1088.0,1.0,1.0,1.0
1561518595.504,1.374,0.562,92.755,0.0,0.0,5.309,61509209.0,76290121.0,198.0,7386.0,0.0,0.0,0.0
1561518596.504,0.125,0.125,95.247,0.0,0.0,4.503,49641271.0,61621482.0,198.0,4543.0,1.0,1.0,1.0
1561518597.504,0.312,0.312,94.694,0.125,0.0,4.557,58686237.0,72837831.0,321.0,10963.0,0.0,0.0,0.0
1561518598.504,0.062,0.188,95.062,0.0,0.0,4.688,53203352.0,66028019.0,1035.0,3180.0,1.0,1.0,1.0
1561518599.504,0.0,0.063,95.310,0.0,0.0,4.628,52659777.0,65356052.0,250.0,7821.0,0.0,0.0,0.0
1561518600.504,0.062,0.125,95.125,0.0,0.0,4.688,56938986.0,70661592.0,104.0,3956.0,1.0,1.0,1.0
1561518601.504,0.0,0.125,94.691,0.0,0.0,5.184,62169732.0,77158566.0,146.0,2942.0,0.0,0.0,0.0
1561518602.504,0.188,0.250,94.059,0.0,0.0,5.503,71246854.0,88440908.0,292.0,6082.0,1.0,1.0,1.0
1561518603.504,0.375,0.375,98.186,0.125,0.0,0.938,10254911.0,12717555.0,302.0,11121.0,0.0,0.0,0.0
1561518604.504,0.125,0.375,99.500,0.0,0.0,0.0,125474.0,165614.0,52.0,1088.0,1.0,1.0,1.0
1561518605.504,0.500,0.312,99.188,0.0,0.0,0.0,134456.0,174310.0,244.0,4124.0,0.0,0.0,0.0
1561518606.504,1.374,0.562,98.064,0.0,0.0,0.0,111739.0,47682.0,1135.0,9868.0,1.0,1.0,1.0
1561518607.504,0.313,0.501,99.186,0.0,0.0,0.0,32832.0,35716.0,250.0,10812.0,0.0,0.0,0.0
1561518608.504,0.187,0.437,99.250,0.125,0.0,0.0,93452.0,122542.0,52.0,1088.0,1.0,1.0,1.0
1561518609.504,0.063,0.250,99.687,0.0,0.0,0.0,127443.0,160280.0,226.0,7797.0,0.0,0.0,0.0
1561518610.504,0.250,0.312,99.438,0.0,0.0,0.0,34016.0,39456.0,198.0,3956.0,1.0,1.0,1.0
1561518611.504,0.188,0.250,99.562,0.0,0.0,0.0,26945.0,33114.0,146.0,2876.0,0.0,0.0,0.0
1561518612.504,0.250,0.500,99.250,0.0,0.0,0.0,14206.0,14380.0,198.0,6082.0,1.0,1.0,1.0
1561518613.504,0.375,0.500,99.125,0.0,0.0,0.0,65181.0,51906.0,1285.0,13147.0,0.0,0.0,0.0
1561518614.504,0.187,0.250,99.375,0.187,0.0,0.0,56690.0,73386.0,52.0,1088.0,1.0,1.0,1.0
1561518615.504,0.063,0.250,99.687,0.0,0.0,0.0,43712.0,53742.0,52.0,3992.0,0.0,0.0,0.0
1561518616.504,1.625,0.625,97.750,0.0,0.0,0.0,128580.0,72553.0,250.0,7805.0,1.0,1.0,1.0
1561518617.504,0.375,0.125,99.438,0.0,0.0,0.062,76116.0,87822.0,292.0,10746.0,0.0,0.0,0.0
1561518618.504,0.312,0.938,98.688,0.0,0.0,0.062,104623.0,139128.0,52.0,1088.0,1.0,1.0,1.0
1561518619.504,0.125,0.187,99.563,0.125,0.0,0.0,46581.0,37016.0,944.0,19455.0,0.0,0.0,0.0
1561518620.504,0.125,0.188,99.687,0.0,0.0,0.0,26606.0,29688.0,198.0,3956.0,1.0,1.0,1.0
1561518621.504,0.125,0.312,99.562,0.0,0.0,0.0,83565.0,106753.0,1129.0,4873.0,0.0,0.0,0.0
1561518622.504,0.187,0.250,99.563,0.0,0.0,0.0,26098.0,25710.0,198.0,6082.0,1.0,1.0,1.0
1561518623.504,0.250,0.688,99.061,0.0,0.0,0.0,60441.0,48523.0,250.0,11121.0,0.0,0.0,0.0
1561518624.504,0.375,0.437,99.126,0.0,0.0,0.062,50192.0,65040.0,52.0,1088.0,1.0,1.0,1.0
1561518625.504,0.125,0.125,99.500,0.188,0.0,0.063,160712.0,209342.0,52.0,4058.0,0.0,0.0,0.0
1561518626.504,2.375,0.750,96.875,0.0,0.0,0.0,139230.0,87905.0,250.0,7871.0,1.0,1.0,1.0
1561518627.504,0.250,0.312,99.438,0.0,0.0,0.0,73897.0,84980.0,344.0,10897.0,0.0,0.0,0.0
1561518628.504,0.500,0.687,98.751,0.0,0.0,0.062,74126.0,100240.0,1200.0,3378.0,1.0,1.0,1.0
1561518629.504,0.125,0.250,99.625,0.0,0.0,0.0,84417.0,102866.0,198.0,7755.0,0.0,0.0,0.0
1561518630.504,0.188,0.312,99.500,0.0,0.0,0.0,17810.0,18204.0,104.0,3890.0,1.0,1.0,1.0
1561518631.504,0.063,0.438,99.375,0.125,0.0,0.0,24980.0,29984.0,146.0,2876.0,0.0,0.0,0.0
1561518632.504,0.312,0.250,99.250,0.0,0.0,0.187,288070.0,375610.0,198.0,6082.0,1.0,1.0,1.0
1561518633.504,0.250,0.626,99.124,0.0,0.0,0.0,594435.0,752797.0,250.0,11121.0,0.0,0.0,0.0
1561518634.504,0.187,0.375,99.376,0.0,0.0,0.062,212564.0,277740.0,80.0,1130.0,1.0,1.0,1.0
1561518635.504,0.062,0.250,99.688,0.0,0.0,0.0,7910.0,6002.0,146.0,4058.0,0.0,0.0,0.0
1561518636.504,1.313,0.313,98.249,0.0,0.0,0.125,172879.0,217249.0,1275.0,9989.0,1.0,1.0,1.0
