"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k09",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_4.csv -i 1 65",,,,"Date:","26 Jun 2019 21:00:46 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","41","42","43"
1561550446.022,0.292,0.146,99.512,0.042,0.0,0.008,0.0,0.0,0.0,0.0,0.003,0.003,0.000
1561550447.023,0.0,0.313,98.437,0.0,0.0,1.251,9412504.0,9342310.0,198.0,6860.0,1.0,1.0,0.0
1561550448.023,0.125,0.062,93.438,0.125,0.0,6.250,34025728.0,34025254.0,220.0,4499.0,0.0,0.0,0.0
1561550449.023,0.062,0.188,93.500,0.0,0.0,6.250,49005742.0,48989555.0,892.0,18876.0,1.0,1.0,0.0
1561550450.023,0.125,0.187,93.442,0.0,0.0,6.246,48952733.0,48919542.0,1129.0,11069.0,0.0,0.0,0.0
1561550451.023,0.125,0.188,93.438,0.0,0.0,6.250,49158024.0,49157397.0,146.0,4994.0,1.0,1.0,0.0
1561550452.023,0.063,0.125,93.558,0.0,0.0,6.254,49276097.0,49277771.0,52.0,1088.0,0.0,0.0,0.0
1561550453.023,0.0,0.125,93.625,0.0,0.0,6.250,49898917.0,49882865.0,448.0,17572.0,1.0,1.0,0.0
1561550454.023,0.125,0.062,93.438,0.125,0.0,6.250,49816480.0,49805106.0,198.0,4658.0,0.0,0.0,0.0
1561550455.023,0.125,0.062,93.562,0.0,0.0,6.250,49787960.0,49794484.0,0.0,0.0,1.0,1.0,0.0
1561550456.023,1.938,0.312,91.500,0.0,0.0,6.250,48913670.0,48901785.0,146.0,1154.0,0.0,0.0,0.0
1561550457.022,0.562,0.375,92.817,0.0,0.0,6.246,49507397.0,49500638.0,1129.0,8952.0,1.0,1.0,0.0
1561550458.023,0.125,0.125,93.496,0.0,0.0,6.254,48138064.0,48131819.0,358.0,4217.0,0.0,0.0,0.0
1561550459.023,0.125,0.188,93.438,0.0,0.0,6.250,49617318.0,49611837.0,269.0,7308.0,1.0,1.0,0.0
1561550460.023,0.125,0.312,93.192,0.125,0.0,6.246,49781895.0,49756154.0,198.0,8977.0,0.0,0.0,0.0
1561550461.023,0.125,0.125,93.496,0.0,0.0,6.254,49759486.0,49750579.0,146.0,4994.0,1.0,1.0,0.0
1561550462.023,0.125,0.313,93.308,0.0,0.0,6.254,49436340.0,49438888.0,52.0,1088.0,0.0,0.0,0.0
1561550463.023,0.062,0.125,93.562,0.0,0.0,6.250,49450488.0,49497609.0,396.0,14244.0,1.0,1.0,0.0
1561550464.023,0.062,0.312,93.379,0.0,0.0,6.246,47606793.0,47534456.0,344.0,7986.0,0.0,0.0,0.0
1561550465.023,0.062,0.125,93.562,0.0,0.0,6.250,49339992.0,49345323.0,983.0,2063.0,1.0,1.0,0.0
1561550466.023,0.187,0.187,93.192,0.187,0.0,6.246,49338474.0,49332361.0,104.0,1088.0,0.0,0.0,0.0
1561550467.023,1.250,0.500,92.0,0.0,0.0,6.250,48163078.0,48149358.0,198.0,6860.0,1.0,1.0,0.0
1561550468.023,0.125,0.0,93.621,0.0,0.0,6.254,48810495.0,48805620.0,104.0,3898.0,0.0,0.0,0.0
1561550469.023,0.0,0.188,93.562,0.0,0.0,6.250,49137353.0,49132589.0,198.0,7242.0,1.0,1.0,0.0
1561550470.023,0.062,0.062,93.629,0.0,0.0,6.246,48835550.0,48811935.0,250.0,9043.0,0.0,0.0,0.0
1561550471.023,0.062,0.125,93.375,0.188,0.0,6.250,49089650.0,49085538.0,198.0,4994.0,1.0,1.0,0.0
1561550472.023,0.125,0.312,93.312,0.0,0.0,6.250,49519182.0,49522065.0,931.0,1838.0,0.0,0.0,0.0
1561550473.023,0.0,0.0,93.746,0.0,0.0,6.254,50031206.0,50008629.0,490.0,15557.0,1.0,1.0,0.0
1561550474.023,0.125,0.125,93.504,0.0,0.0,6.246,49813617.0,49804849.0,250.0,7920.0,0.0,0.0,0.0
1561550475.023,0.062,0.188,93.500,0.0,0.0,6.250,49902698.0,49907134.0,0.0,0.0,1.0,1.0,0.0
1561550476.023,0.313,0.125,93.308,0.0,0.0,6.254,49727565.0,49729667.0,52.0,1088.0,0.0,0.0,0.0
1561550477.023,2.188,0.562,90.812,0.188,0.0,6.250,49086435.0,49070529.0,198.0,6860.0,1.0,1.0,0.0
1561550478.023,0.187,0.125,98.689,0.0,0.0,0.999,7222596.0,7279642.0,104.0,3898.0,0.0,0.0,0.0
1561550479.023,0.125,0.313,99.562,0.0,0.0,0.0,20288.0,2137.0,972.0,18918.0,1.0,1.0,0.0
1561550480.023,0.313,0.250,99.437,0.0,0.0,0.0,40886.0,12486.0,1337.0,11110.0,0.0,0.0,0.0
1561550481.023,0.062,0.250,99.688,0.0,0.0,0.0,5324.0,768.0,146.0,4994.0,1.0,1.0,0.0
1561550482.023,0.375,0.625,98.812,0.188,0.0,0.0,6056.0,9996.0,146.0,1154.0,0.0,0.0,0.0
1561550483.023,0.125,0.188,99.688,0.0,0.0,0.0,14970.0,1164.0,448.0,14310.0,1.0,1.0,0.0
1561550484.023,0.188,0.438,99.375,0.0,0.0,0.0,9408.0,1040.0,250.0,7920.0,0.0,0.0,0.0
1561550485.023,0.188,0.250,99.562,0.0,0.0,0.0,198.0,554.0,0.0,0.0,1.0,1.0,0.0
1561550486.023,0.375,0.312,99.313,0.0,0.0,0.0,2312.0,800.0,52.0,1088.0,0.0,0.0,0.0
1561550487.023,2.0,0.938,97.0,0.0,0.0,0.062,26412.0,10691.0,198.0,6860.0,1.0,1.0,0.0
1561550488.023,0.250,0.062,99.500,0.125,0.0,0.062,8039.0,2153.0,1139.0,6141.0,0.0,0.0,0.0
1561550489.023,0.125,0.375,99.500,0.0,0.0,0.0,7770.0,911.0,269.0,7308.0,1.0,1.0,0.0
1561550490.023,0.313,0.188,99.500,0.0,0.0,0.0,35581.0,10755.0,344.0,9175.0,0.0,0.0,0.0
1561550491.023,0.562,0.375,99.063,0.0,0.0,0.0,5324.0,768.0,146.0,4994.0,1.0,1.0,0.0
1561550492.023,0.438,0.500,99.062,0.0,0.0,0.0,5924.0,9706.0,52.0,1088.0,0.0,0.0,0.0
1561550493.023,0.125,0.250,99.625,0.0,0.0,0.0,15210.0,1258.0,396.0,14244.0,1.0,1.0,0.0
1561550494.023,0.312,0.312,99.250,0.125,0.0,0.0,9408.0,1048.0,250.0,7920.0,0.0,0.0,0.0
1561550495.023,0.125,0.313,99.562,0.0,0.0,0.0,2898.0,1725.0,983.0,2158.0,1.0,1.0,0.0
1561550496.023,0.375,0.312,99.313,0.0,0.0,0.0,2312.0,874.0,104.0,1088.0,0.0,0.0,0.0
1561550497.023,2.188,0.562,97.250,0.0,0.0,0.0,26124.0,12199.0,250.0,6860.0,1.0,1.0,0.0
1561550498.023,0.313,0.188,99.500,0.0,0.0,0.0,5254.0,874.0,104.0,3964.0,0.0,0.0,0.0
1561550499.023,0.187,0.312,99.438,0.0,0.0,0.062,7770.0,1238.0,146.0,7242.0,1.0,1.0,0.0
