"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k09",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_8.csv -i 1 65",,,,"Date:","26 Jun 2019 15:43:14 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","40","41","42"
1561531394.080,0.291,0.146,99.516,0.042,0.0,0.005,0.0,0.0,0.0,0.0,0.002,0.002,0.002
1561531395.082,0.063,0.188,99.062,0.0,0.0,0.688,7112048.0,8846636.0,198.0,3956.0,0.0,0.0,0.0
1561531396.082,0.188,0.250,95.625,0.0,0.0,3.938,28039632.0,34819012.0,146.0,2876.0,1.0,1.0,1.0
1561531397.082,0.188,0.188,97.0,0.0,0.0,2.625,27913335.0,34643876.0,250.0,8975.0,0.0,0.0,0.0
1561531398.082,0.125,0.188,95.812,0.125,0.0,3.750,35899386.0,44547912.0,146.0,4994.0,1.0,1.0,1.0
1561531399.082,1.812,0.562,92.875,0.0,0.0,4.750,39250119.0,48668602.0,1989.0,18023.0,0.0,0.0,0.0
1561531400.082,0.125,0.062,95.938,0.0,0.0,3.875,40175666.0,49853207.0,146.0,3570.0,1.0,1.0,1.0
1561531401.082,0.062,0.250,95.688,0.0,0.0,4.0,40226892.0,49879131.0,552.0,15892.0,0.0,0.0,0.0
1561531402.082,0.375,0.438,94.625,0.0,0.0,4.562,39258302.0,48729264.0,52.0,4058.0,1.0,1.0,1.0
1561531403.082,0.062,0.188,96.0,0.125,0.0,3.625,33845875.0,41914376.0,146.0,1154.0,0.0,0.0,0.0
1561531404.082,0.125,0.188,95.125,0.0,0.0,4.562,38916142.0,48294380.0,226.0,7350.0,1.0,1.0,1.0
1561531405.082,0.062,0.125,96.0,0.0,0.0,3.812,39164646.0,48600638.0,104.0,3890.0,0.0,0.0,0.0
1561531406.082,0.062,0.125,95.750,0.0,0.0,4.062,40465450.0,50223709.0,1129.0,5034.0,1.0,1.0,1.0
1561531407.082,0.125,0.375,95.810,0.0,0.0,3.690,40120327.0,49785852.0,250.0,8909.0,0.0,0.0,0.0
1561531408.082,0.250,0.187,95.943,0.062,0.0,3.558,40240159.0,49939298.0,198.0,5079.0,1.0,1.0,1.0
1561531409.082,1.689,0.313,93.684,0.0,0.0,4.315,41313510.0,51236144.0,175.0,4320.0,0.0,0.0,0.0
1561531410.082,0.125,0.250,95.562,0.0,0.0,4.062,41495952.0,51496038.0,146.0,3504.0,1.0,1.0,1.0
1561531411.082,0.188,0.313,95.310,0.0,0.0,4.190,35666326.0,44245611.0,604.0,15892.0,0.0,0.0,0.0
1561531412.082,0.375,0.499,95.318,0.0,0.0,3.808,33905854.0,42089806.0,52.0,4058.0,1.0,1.0,1.0
1561531413.082,0.0,0.375,96.873,0.0,0.0,2.752,22400422.0,27809412.0,146.0,1154.0,0.0,0.0,0.0
1561531414.082,0.188,0.188,96.685,0.063,0.0,2.877,24920179.0,30923485.0,1233.0,9401.0,1.0,1.0,1.0
1561531415.082,0.062,0.125,96.125,0.0,0.0,3.688,34623192.0,42962628.0,198.0,3956.0,0.0,0.0,0.0
1561531416.082,0.125,0.250,95.878,0.0,0.0,3.748,38718504.0,48050030.0,52.0,2876.0,1.0,1.0,1.0
1561531417.082,0.125,0.188,95.810,0.0,0.0,3.877,40319157.0,50035478.0,250.0,8975.0,0.0,0.0,0.0
1561531418.082,0.125,0.125,95.500,0.0,0.0,4.250,40511570.0,50272024.0,146.0,4994.0,1.0,1.0,1.0
1561531419.082,1.499,0.500,93.317,0.250,0.0,4.435,37458030.0,46459447.0,104.0,4188.0,0.0,0.0,0.0
1561531420.082,0.125,0.125,95.310,0.0,0.0,4.440,34599272.0,42936788.0,146.0,3504.0,1.0,1.0,1.0
1561531421.082,0.250,0.250,95.312,0.0,0.0,4.188,36249783.0,44950636.0,1473.0,18087.0,0.0,0.0,0.0
1561531422.082,0.688,0.438,95.0,0.0,0.0,3.875,37781860.0,46893498.0,52.0,4058.0,1.0,1.0,1.0
1561531423.082,0.125,0.187,95.503,0.0,0.0,4.185,39110926.0,48538602.0,52.0,1088.0,0.0,0.0,0.0
1561531424.082,0.375,0.125,95.500,0.0,0.0,4.0,39676416.0,49230280.0,146.0,7308.0,1.0,1.0,1.0
1561531425.082,0.063,0.125,95.435,0.125,0.0,4.253,41849192.0,51938066.0,198.0,3956.0,0.0,0.0,0.0
1561531426.082,0.250,0.375,98.688,0.0,0.0,0.688,5911840.0,7341266.0,52.0,2876.0,1.0,1.0,1.0
1561531427.082,0.250,0.562,99.126,0.0,0.0,0.062,34659.0,38188.0,250.0,8843.0,0.0,0.0,0.0
