"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_6.csv -i 1 65",,,,"Date:","25 Jun 2019 18:55:45 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","41","42","43"
1561456545.730,0.391,0.225,89.744,0.004,0.0,9.636,0.0,0.0,0.0,0.0,1932.683,1413.532,0.005
1561456546.732,0.625,0.062,91.255,0.0,0.0,8.057,17317693.0,17298274.0,0.0,0.0,6191.0,6178.0,0.0
1561456547.732,0.188,0.188,67.312,0.0,0.0,32.312,70604145.0,70601090.0,28.0,42.0,23660.0,23387.0,0.0
1561456548.732,0.125,0.062,66.438,0.0,0.0,33.375,82837179.0,82821457.0,0.0,0.0,25498.0,25763.0,0.0
1561456549.732,0.188,0.125,65.854,0.0,0.0,33.834,82765223.0,82762933.0,0.0,0.0,25619.0,25104.0,0.0
1561456550.731,1.811,0.437,65.896,0.0,0.0,31.855,82678479.0,82653643.0,0.0,0.0,27779.0,27300.0,0.0
1561456551.732,0.188,0.125,66.0,0.0,0.0,33.688,79728034.0,79718069.0,0.0,0.0,25473.0,18851.0,0.0
1561456552.731,0.063,0.0,66.792,0.0,0.0,33.146,83319594.0,83314634.0,0.0,0.0,25104.0,21211.0,0.0
1561456553.732,0.125,0.125,64.460,0.0,0.0,35.290,83639602.0,83632845.0,0.0,0.0,25435.0,23069.0,0.0
1561456554.732,0.125,0.125,66.500,0.0,0.0,33.250,77414914.0,77401549.0,0.0,0.0,24106.0,23937.0,0.0
1561456555.732,0.062,0.125,65.0,0.0,0.0,34.812,83870578.0,83869615.0,0.0,0.0,25183.0,23703.0,0.0
1561456556.732,0.125,0.0,65.562,0.0,0.0,34.312,83947010.0,83929997.0,0.0,0.0,25772.0,23964.0,0.0
1561456557.732,0.250,0.0,64.290,0.0,0.0,35.460,83866720.0,83863562.0,0.0,0.0,25689.0,23993.0,0.0
1561456558.731,0.062,0.125,66.250,0.0,0.0,33.562,83933835.0,83909709.0,0.0,0.0,25406.0,24031.0,0.0
1561456559.731,0.187,0.062,66.646,0.0,0.0,33.104,78756367.0,78754278.0,0.0,0.0,25076.0,24863.0,0.0
1561456560.732,0.313,0.125,64.665,0.0,0.0,34.897,82705921.0,82701512.0,0.0,0.0,25741.0,25118.0,0.0
1561456561.731,1.874,0.437,65.584,0.0,0.0,32.105,82179258.0,82150362.0,0.0,0.0,25995.0,25941.0,0.0
1561456562.732,0.0,0.063,67.730,0.0,0.0,32.208,78503840.0,78499351.0,0.0,0.0,23485.0,24847.0,1.0
1561456563.732,0.062,0.125,67.188,0.0,0.0,32.625,82043311.0,82034480.0,0.0,0.0,23410.0,25813.0,0.0
1561456564.732,0.188,0.188,66.500,0.0,0.0,33.125,79538540.0,79526373.0,0.0,0.0,23276.0,24231.0,0.0
1561456565.732,0.125,0.125,66.125,0.0,0.0,33.625,79431944.0,79425151.0,0.0,0.0,23638.0,24954.0,0.0
1561456566.732,0.0,0.125,66.334,0.0,0.0,33.542,80739029.0,80721757.0,0.0,0.0,23387.0,25739.0,0.0
1561456567.732,0.125,0.0,68.293,0.0,0.0,31.582,75808955.0,75804336.0,0.0,0.0,22749.0,24434.0,0.0
1561456568.731,0.062,0.0,67.688,0.0,0.0,32.250,82037109.0,82021251.0,0.0,0.0,23909.0,26123.0,0.0
1561456569.732,0.187,0.375,67.021,0.0,0.0,32.417,72406832.0,72399685.0,0.0,0.0,22212.0,23687.0,0.0
1561456570.731,0.0,0.250,68.0,0.0,0.0,31.750,75266808.0,75264173.0,0.0,0.0,22405.0,24675.0,0.0
1561456571.732,2.314,0.438,66.354,0.0,0.0,30.894,81587626.0,81559531.0,0.0,0.0,25522.0,27950.0,0.0
1561456572.731,0.062,0.250,68.312,0.0,0.0,31.375,77747436.0,77741767.0,123.0,151.0,22908.0,24745.0,0.0
1561456573.732,0.125,0.125,67.812,0.0,0.0,31.938,80745007.0,80740910.0,0.0,0.0,23636.0,25702.0,0.0
1561456574.732,0.125,0.187,66.958,0.0,0.0,32.730,78254980.0,78241205.0,0.0,0.0,23555.0,25232.0,0.0
1561456575.732,0.188,0.063,64.853,0.0,0.0,34.897,81937645.0,81935546.0,0.0,0.0,22656.0,25672.0,0.0
1561456576.732,0.062,0.062,66.583,0.0,0.0,33.292,82122727.0,82104231.0,0.0,0.0,23078.0,25311.0,0.0
1561456577.732,0.125,0.125,95.375,0.0,0.0,4.375,11196170.0,11194630.0,0.0,0.0,3384.0,4124.0,0.0
1561456578.732,0.125,0.062,99.750,0.062,0.0,0.0,18627.0,2264.0,0.0,0.0,14.0,1.0,0.0
1561456579.732,0.188,0.188,99.625,0.0,0.0,0.0,4044.0,2084.0,0.0,0.0,17.0,1.0,0.0
1561456580.732,0.062,0.125,99.812,0.0,0.0,0.0,5228.0,1986.0,0.0,0.0,13.0,0.0,0.0
1561456581.732,2.188,0.438,97.375,0.0,0.0,0.0,32367.0,2643.0,0.0,0.0,14.0,1.0,0.0
1561456582.732,0.125,0.062,99.812,0.0,0.0,0.0,7858.0,2592.0,0.0,0.0,12.0,2.0,0.0
1561456583.732,0.688,0.063,99.250,0.0,0.0,0.0,7606.0,2044.0,0.0,0.0,15.0,2.0,0.0
1561456584.732,0.188,0.188,99.625,0.0,0.0,0.0,14379.0,2118.0,0.0,0.0,12.0,1.0,0.0
1561456585.732,0.187,0.187,99.625,0.0,0.0,0.0,4044.0,1936.0,0.0,0.0,14.0,1.0,0.0
1561456586.732,0.313,0.125,99.562,0.0,0.0,0.0,21724.0,3156.0,0.0,0.0,12.0,1.0,0.0
1561456587.732,0.062,0.062,99.875,0.0,0.0,0.0,4268.0,1706.0,0.0,0.0,14.0,2.0,0.0
1561456588.732,0.125,0.062,99.813,0.0,0.0,0.0,26872.0,2982.0,0.0,0.0,13.0,0.0,0.0
1561456589.732,0.188,0.188,99.625,0.0,0.0,0.0,4104.0,2126.0,0.0,0.0,14.0,2.0,0.0
1561456590.732,0.125,0.125,99.750,0.0,0.0,0.0,7778.0,3112.0,0.0,0.0,12.0,4.0,0.0
1561456591.732,0.938,0.250,98.812,0.0,0.0,0.0,12151.0,1912.0,0.0,0.0,13.0,1.0,0.0
1561456592.732,0.812,0.312,98.875,0.0,0.0,0.0,25422.0,2329.0,0.0,0.0,14.0,0.0,0.0
1561456593.732,0.125,0.062,99.812,0.0,0.0,0.0,7606.0,1978.0,0.0,0.0,15.0,1.0,0.0
1561456594.732,0.125,0.125,99.687,0.0,0.0,0.063,14379.0,2052.0,0.0,0.0,12.0,10.0,0.0
1561456595.732,0.125,0.125,99.750,0.0,0.0,0.0,4395.0,2490.0,0.0,0.0,15.0,3.0,0.0
1561456596.732,0.062,0.062,99.875,0.0,0.0,0.0,21659.0,3156.0,0.0,0.0,13.0,1.0,0.0
1561456597.732,0.125,0.063,99.812,0.0,0.0,0.0,6951.0,2856.0,0.0,0.0,15.0,4.0,0.0
1561456598.732,0.062,0.125,99.813,0.0,0.0,0.0,18759.0,2284.0,0.0,0.0,15.0,1.0,0.0
1561456599.732,0.188,0.250,99.562,0.0,0.0,0.0,4104.0,2126.0,0.0,0.0,17.0,1.0,0.0
1561456600.732,0.125,0.125,99.750,0.0,0.0,0.0,5354.0,2094.0,0.0,0.0,12.0,0.0,0.0
1561456601.732,0.312,0.125,99.438,0.062,0.0,0.062,12151.0,1846.0,0.0,0.0,15.0,4.0,0.0
1561456602.732,2.061,0.500,97.439,0.0,0.0,0.0,25507.0,2414.0,123.0,151.0,13.0,0.0,0.0
1561456603.732,0.188,0.125,99.688,0.0,0.0,0.0,7967.0,2318.0,0.0,0.0,13.0,1.0,0.0
1561456604.732,0.188,0.125,99.688,0.0,0.0,0.0,14439.0,2160.0,0.0,0.0,12.0,4.0,0.0
1561456605.732,0.062,0.125,99.812,0.0,0.0,0.0,6632.0,3130.0,0.0,0.0,13.0,1.0,0.0
1561456606.732,0.063,0.063,99.875,0.0,0.0,0.0,21659.0,3090.0,0.0,0.0,12.0,1.0,0.0
1561456607.732,0.125,0.062,99.750,0.0,0.0,0.062,4202.0,1598.0,28.0,42.0,14.0,1.0,0.0
1561456608.732,0.062,0.062,99.813,0.0,0.0,0.062,14991.0,2173.0,0.0,0.0,13.0,0.0,0.0
1561456609.732,0.688,0.313,98.999,0.0,0.0,0.0,10441.0,2324.0,0.0,0.0,14.0,5.0,0.0
1561456610.732,0.125,0.125,99.750,0.0,0.0,0.0,5228.0,1986.0,0.0,0.0,13.0,4.0,0.0
