"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_70.csv -i 1 65",,,,"Date:","25 Jun 2019 19:45:11 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","41","42","43"
1561459511.784,0.393,0.225,89.301,0.004,0.0,10.078,0.0,0.0,0.0,0.0,2135.422,1642.816,0.005
1561459512.785,0.250,0.188,91.750,0.0,0.0,7.812,13805759.0,17102380.0,123.0,151.0,6569.0,6120.0,0.0
1561459513.785,0.312,0.250,53.029,0.0,0.0,46.408,104862493.0,130061187.0,0.0,0.0,26539.0,28634.0,0.0
1561459514.785,0.125,0.0,51.345,0.0,0.0,48.530,126383981.0,156811855.0,0.0,0.0,9687.0,7507.0,0.0
1561459515.785,0.125,0.187,52.155,0.0,0.0,47.533,125898122.0,156184251.0,0.0,0.0,9442.0,10301.0,0.0
1561459516.785,0.188,0.250,53.500,0.0,0.0,46.062,126235375.0,156618187.0,0.0,0.0,7873.0,7560.0,0.0
1561459517.785,0.250,0.062,55.0,0.0,0.0,44.688,125826717.0,156110159.0,0.0,0.0,8606.0,7588.0,0.0
1561459518.785,0.125,0.125,52.908,0.0,0.0,46.842,125656870.0,155888811.0,0.0,0.0,7697.0,7554.0,0.0
1561459519.785,0.500,0.188,51.532,0.0,0.0,47.780,125767879.0,156012481.0,0.0,0.0,8874.0,7454.0,0.0
1561459520.785,1.811,0.625,49.844,0.0,0.0,47.720,128210555.0,158868805.0,0.0,0.0,10666.0,7469.0,0.0
1561459521.785,0.187,0.187,54.216,0.0,0.0,45.409,126666503.0,157162532.0,0.0,0.0,7584.0,8060.0,0.0
1561459522.785,0.188,0.0,53.221,0.0,0.0,46.592,126665466.0,157132503.0,0.0,0.0,10184.0,7590.0,0.0
1561459523.785,0.188,0.062,48.938,0.0,0.0,50.812,127120579.0,157725675.0,0.0,0.0,7858.0,8570.0,0.0
1561459524.785,0.125,0.125,49.719,0.0,0.0,50.031,126565907.0,157031211.0,0.0,0.0,7875.0,7535.0,0.0
1561459525.785,0.250,0.0,51.345,0.0,0.0,48.405,126057708.0,156389123.0,0.0,0.0,7495.0,7523.0,0.0
1561459526.785,0.312,0.250,53.092,0.0,0.0,46.346,126817135.0,157345847.0,0.0,0.0,9296.0,7561.0,0.0
1561459527.785,0.188,0.063,51.970,0.0,0.0,47.780,125604047.0,155840123.0,0.0,0.0,9474.0,7566.0,0.0
1561459528.785,0.250,0.125,52.342,0.0,0.0,47.283,126525355.0,156953771.0,0.0,0.0,8812.0,7544.0,0.0
1561459529.785,0.250,0.188,51.782,0.0,0.0,47.780,126481773.0,156912885.0,0.0,0.0,7879.0,7505.0,0.0
1561459530.785,1.750,0.312,51.875,0.0,0.0,46.062,127015683.0,157592311.0,0.0,0.0,8435.0,7670.0,0.0
1561459531.785,1.437,0.562,49.282,0.0,0.0,48.720,127423758.0,157883130.0,0.0,0.0,9110.0,8860.0,0.0
1561459532.785,0.188,0.063,53.880,0.0,0.0,45.870,126952453.0,157500130.0,0.0,0.0,8601.0,8672.0,0.0
1561459533.785,0.500,0.062,50.843,0.0,0.0,48.595,127527210.0,158230155.0,0.0,0.0,8809.0,8674.0,0.0
1561459534.785,0.062,0.062,53.875,0.0,0.0,46.0,127114591.0,157710073.0,0.0,0.0,7962.0,10379.0,0.0
1561459535.785,0.312,0.125,51.280,0.0,0.0,48.282,125890718.0,156180257.0,0.0,0.0,7875.0,7617.0,0.0
1561459536.785,0.125,0.188,51.782,0.0,0.0,47.905,126696035.0,157188373.0,0.0,0.0,9109.0,7571.0,0.0
1561459537.785,0.188,0.125,50.938,0.0,0.0,48.750,126630443.0,157110989.0,0.0,0.0,10834.0,7571.0,0.0
1561459538.785,0.312,0.187,49.781,0.0,0.0,49.719,127956280.0,158742545.0,0.0,0.0,8113.0,7555.0,0.0
1561459539.785,0.313,0.063,51.470,0.0,0.0,48.155,127037923.0,157597239.0,0.0,0.0,8298.0,8215.0,0.0
1561459540.785,0.188,0.0,52.533,0.0,0.0,47.280,125862255.0,156154601.0,0.0,0.0,9254.0,7571.0,0.0
1561459541.785,2.060,0.499,51.498,0.0,0.0,45.943,126420648.0,156629744.0,0.0,0.0,9087.0,7548.0,0.0
1561459542.785,0.438,0.500,52.033,0.0,0.0,47.029,126112311.0,156445006.0,123.0,151.0,8419.0,7584.0,0.0
1561459543.785,0.125,0.188,89.812,0.0,0.0,9.875,27148647.0,33703665.0,0.0,0.0,2160.0,2228.0,0.0
1561459544.785,0.312,0.125,99.562,0.0,0.0,0.0,17990.0,13919.0,0.0,0.0,117.0,13.0,0.0
1561459545.785,0.250,0.125,99.500,0.0,0.0,0.125,15364.0,8450.0,0.0,0.0,20.0,8.0,0.0
1561459546.785,0.312,0.188,99.500,0.0,0.0,0.0,19533.0,14435.0,0.0,0.0,128.0,14.0,0.0
1561459547.785,0.312,0.188,99.500,0.0,0.0,0.0,28837.0,16402.0,28.0,42.0,129.0,21.0,0.0
1561459548.785,0.438,0.250,99.250,0.0,0.0,0.062,30198.0,15621.0,0.0,0.0,133.0,12.0,0.0
1561459549.785,0.375,0.063,99.562,0.0,0.0,0.0,37076.0,15565.0,0.0,0.0,130.0,18.0,0.0
1561459550.785,0.250,0.125,99.563,0.0,0.0,0.062,20497.0,16859.0,0.0,0.0,130.0,22.0,0.0
1561459551.785,0.313,0.375,99.312,0.0,0.0,0.0,17659.0,14319.0,0.0,0.0,127.0,24.0,0.0
