"# of pods","Req/sec"
1,24794.83
2,45430.17
4,97340.76
6,160192.27
8,216949.44
10,271456.12
12,322535.32
14,376858.77
16,427063.61
18,464700.98
20,531611.07
22,545416.21
24,580302.11
26,615092.65
28,698667.67
30,695052.45
32,696161.52
34,703764.88
36,694113.03
38,704521.65
40,702518.03
44,700267.93
48,700021.01
52,696457.72
56,689043.15
60,696763.84
64,703210.65
68,699342.92
72,698650.84
76,696618.17
80,701453.90
84,700216.05
88,699237.70
92,702867.33
96,707061.32
100,694774.57
22,566462.34
24,584405.01
26,634802.39
28,689312.18
