"# of pods","Req/sec"
1,28515.32
2,41733.89
4,89696.36
6,149466.68
8,210028.39
10,265730.93
12,314659.45
14,367101.91
16,414393.34
18,468001.01
20,517123.96
22,563757.52
24,588324.88
26,608614.86
28,722661.34
30,767191.30
32,777261.02
34,777374.99
36,777144.79
38,787682.93
40,767177.90
44,781721.94
48,790325.19
52,787904.49
56,783113.52
60,787796.80
64,796296.15
68,787943.39
72,801277.72
76,803499.14
80,791486.49
84,791920.34
88,789067.53
92,793652.50
96,787016.47
100,787934.29
22,552778.46
24,585201.93
26,666101.84
28,711894.88
