"# of cpu on LB","Req/sec"
02,46762.15
02,46614.30
02,47568.71
02,45179.38
02,47394.56
02,47069.61
02,47132.29
02,46979.86
02,46438.24
02,46471.59
04,96587.61
04,95630.72
04,93360.30
04,95679.62
04,80164.22
04,94747.21
04,95790.06
04,95344.37
04,96137.36
08,101724.51
08,102130.06
08,103909.22
08,103508.26
08,97649.39
08,100667.28
08,103620.56
08,103223.34
08,102330.10
08,102916.14
12,69413.16
12,72085.20
12,71184.54
12,71015.19
12,68328.12
12,70081.01
12,68825.36
12,71541.06
12,70584.20
12,71634.73
16,50528.81
16,49163.57
16,38557.23
16,51179.34
16,52263.41
16,45014.58
16,52176.49
16,50802.11
16,49700.27
